date,region,sex ,ageclass ,num_Bpro
11/2/13,North,F ,A,6
11/2/13,North,F ,A,2
11/2/13,North,M,A,0
11/2/13,North,M,A,0
11/2/13,North,M,A,0
11/2/13,North,M,A,0
11/2/13,North,M,A,0
11/2/13,North,M ,YA ,0
11/2/13,North,F ,A,0
11/2/13,North,F ,YA ,0
11/2/13,North,F ,YA ,0
11/2/13,North,M ,YA ,4
11/19/13,North,M ,A,0
11/19/13,North,F ,A,0
11/19/13,North,F ,YA ,0
11/19/13,North,F ,YA ,0
11/19/13,North,M ,YA ,0
11/19/13,North,M ,YA ,0
11/19/13,North,M ,YA ,0
11/19/13,North,F ,YA ,0
11/19/13,North,F ,YA ,0
11/19/13,North,F ,YA ,12
11/19/13,North,M ,YA ,1
11/19/13,North,M ,A,0
11/19/13,North,M ,A,0
11/27/13,South,F ,YA ,51
11/27/13,South,M,A,17
11/27/13,South,M,YA ,1
11/27/13,South,M,A,3
11/27/13,South,M,A,0
11/27/13,South,F ,A,45
11/27/13,South,M ,A,24
11/27/13,South,F ,A,16
11/27/13,South,M ,A,4
11/27/13,South,F ,YA ,4
11/27/13,South,M ,A,3
11/27/13,South,M ,A,2
11/27/13,South,M ,A,2
11/27/13,South,F ,A,2
12/4/13,South,M ,A,1
12/4/13,South,F ,A,1
12/4/13,South,M ,A,0
12/4/13,South,M ,A,0
12/4/13,South,M ,A,0
12/4/13,South,M ,A,0
12/4/13,South,M ,A,0
12/4/13,South,M ,A,0
12/4/13,South,M ,YA ,0
12/4/13,South,M ,YA ,0
1/21/14,Central,F ,A,3
1/21/14,North,M ,A,2
1/21/14,North,F ,YA ,2
1/21/14,Central,F ,A,2
1/21/14,North,M ,A,0
1/21/14,Central,M ,A,0
1/21/14,Central,M ,A,0
1/21/14,Central,M ,A,0
1/21/14,Central,M ,A,0
1/21/14,South,F ,A,54
1/21/14,South,M,A,2
1/21/14,South,F ,YA ,1
1/19/14,North,M ,A,0
1/19/14,North,F ,A,0
1/19/14,North,F ,YA ,0
1/19/14,North,F ,YA ,0
1/19/14,North,M ,YA ,0
1/19/14,North,M ,YA ,0
1/19/14,North,M ,YA ,0
1/19/14,North,F ,YA ,0
1/19/14,North,F ,YA ,0
1/19/14,North,F ,YA ,11
2/2/14,North,M ,YA ,1
2/2/14,North,M ,A,0
2/2/14,North,M ,A,0
2/2/14,South,F ,YA ,46
2/2/14,South,M,A,19
2/2/14,South,M,YA ,2
2/9/14,Central,M,A,3
2/9/14,Central,M,A,0
2/9/14,Central,F ,A,51
2/9/14,Central,M ,A,26
2/9/14,Central,F ,A,14
2/9/14,Central,M ,A,4
2/9/14,Central,F ,YA ,4
2/9/14,Central,M ,A,3
2/12/14,South,M ,A,1
2/12/14,South,M ,A,2
2/12/14,South,F ,A,2
2/12/14,South,M ,A,1
2/12/14,South,F ,A,1
2/12/14,South,M ,YA ,0
2/12/14,South,M ,A,0
2/12/14,South,M ,YA ,0
2/12/14,South,M ,A,0
2/12/14,South,M ,A,6
2/12/14,South,M ,A,0
2/12/14,South,M ,YA ,0
2/12/14,South,M ,YA ,0
2/18/14,North,F ,A,3
2/18/14,North,M ,A,2
2/18/14,North,F ,YA ,1
2/18/14,North,F ,A,1
2/18/14,North,M ,A,1
2/18/14,North,M ,A,0
2/18/14,North,M ,A,0
2/18/14,North,M ,A,0
